Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Word,,,,
whee,linoleum,vial,Chernobyl,gallipot
gerbils**,fruition,foist,hydraulics,miscreant
OR gerbilles,bygone,Samhain,klystron,Aquitaine
stifle,committee,crystalline,fuselage,muttonchops
Wednesday,mirage,sentient,grosgrain,charade
speckled,newfangled,technicalities,Byzantine,relegated
locust,surcharge,incorporeal,objet d’art,conspiratorial
laurel,plaque**,Tlingit,séance,puppeteer
lollygag**,OR placque,detainees,reticule,gullet
OR lallygag,bibliophile,smoldering,defibrillator,rancid
vermin,graphite,OR smouldering,rookery,consensus
fend,deposition,translucent,vociferous,accommodations
membrane,veterinarian,glabrous,Carmelite,emblem
gasket,skiff,gondolas,cascabel,recoil
spritzed,buzzard,pentameter,San Joaquin,upholstery
clientele,writhes,chlorofluorocarbon,cabeza,effectual
anecdotes,barren,inimitable,imperator,acquaintance
haberdasher,suffice,euphoria,symbolises*,fandango
filagree,giddily,Euphrates,camouflaged,puncheon
burro,tiff,villainous,piñon,operant
crescendo,leeward,ruffian,OR pinyon,infrastructure
ocelot,hurly-burly,buccaneer,dysfunctional,alighted
onyx,parroting,lubbers,creosote,Canterbury
melancholy,techie,louis d’or,gravelly,Choctaws
merfolk,anomaly,ambiguity,keening,prosecutor
gargoyles,magenta,cache,suffocate,noncommittal
grotesque,conveyance,catechism,endowed,eulogy
threshold,cohort,lieutenant,immunization,regales
flamboyant,mañana,cavalier,assizes,psychometry
famine,tersely,circumspectly,stockade,
